Title,Price,Street,Meters,Rooms,Toilets,Phone
Alquiler apartamento  3 dormitorios en gràcia en Barcelona,2.585 €,El Camp d´en Grassot i Gràcia Nova - Passeig de Sant Joan,80 m2,3 hab.,2 baños,+34911235203
Alquiler apartamento  de 3 dormitorios en gràcia en Barcelona,2.140 €,Vila de Gràcia - Carrer d'Aulèstia i Pijoan,90 m2,3 hab.,2 baños,+34911235203
Alquiler apartamento estudio en eixample dreta en Barcelona,1.875 €,Dreta de l´Eixample - Carrer del Bruc,36 m2,1 hab.,1 baño,+34911235203
Alquiler apartamento  de 2 dormitorios en eixample dreta en Barcelona,2.685 €,Dreta de l´Eixample - Avinguda Diagonal,93 m2,2 hab.,2 baños,+34911235203
Alquiler apartamento  de 2 dormitorios con balcón en eixample dreta en Barcelona,2.005 €,Dreta de l´Eixample - Carrer de Mallorca,55 m2,2 hab.,1 baño,+34911235203
Alquiler apartamento  de 2 dormitorios en eixample dreta en Barcelona,3.300 €,Dreta de l´Eixample - Passeig de Gràcia,105 m2,2 hab.,3 baños,+34911235203
Alquiler apartamento  de 3 dormitorios con balcón en les corts en Barcelona,1.965 €,Barri de les Corts - Carrer de Guitard,64 m2,3 hab.,2 baños,623119277
Alquiler apartamento  de 2 dormitorios con balcón en eixample esquerra en Barcelona,2.130 €,La Nova Esquerra de l´Eixample - Carrer de Rocafort,80 m2,2 hab.,2 baños,623119277
Alquiler apartamento  de 2 dormitorios en eixample esquerra en Barcelona,2.035 €,L´Antiga Esquerra de l´Eixample - Carrer de Villarroel,63 m2,2 hab.,2 baños,623119277
Alquiler apartamento  de 1 dormitorio en ciutat vella en Barcelona,1.920 €,St. Pere - Sta. Caterina - El Born - Placeta de Montcada,53 m2,1 hab.,1 baño,623119277
Alquiler apartamento  de 3 dormitorios con despacho y yoga room en Barcelona,3.340 €,L´Antiga Esquerra de l´Eixample - Carrer de Villarroel,130 m2,3 hab.,2 baños,623119277
Alquiler apartamento  de 2 dormitorios y terraza en sant gervasi en Barcelona,2.055 €,Sarrià - Carrer de Cornet i Mas,74 m2,2 hab.,2 baños,623119277
Alquiler apartamento  de 2 habitaciones con terraza en sant gervasi en Barcelona,4.000 €,Sarrià - Carrer de Bonaplata,103 m2,2 hab.,2 baños,623119277
Alquiler piso apartamento de 2 habitaciones en sant gervasy en Barcelona,2.160 €,Sant Gervasi - Bonanova - Carrer d'Arimon,51 m2,2 hab.,1 baño,623119277
Alquiler apartamento  de 3 habitaciones en eixample esquerra en Barcelona,2.390 €,Dreta de l´Eixample - Carrer de Roger de Llúria,95 m2,3 hab.,1 baño,623119277
Alquiler apartamento  de 2 dormitorios con terraza en sant gervasy en Barcelona,3.185 €,Sarrià - Carrer del Riu de l'Or,72 m2,2 hab.,1 baño,623119277
Alquiler apartamento  2 habitaciones con terraza en gracia en Barcelona,3.385 €,Vila de Gràcia - Carrer de Trilla,104 m2,2 hab.,1 baño,623119277
Alquiler apartamento  de 3 habitaciones con terraza en sagrada familia en Barcelona,3.365 €,Sagrada Família - Carrer de Lepant,99 m2,3 hab.,2 baños,623119277
Alquiler apartamento  2 habitaciones en poblenou en Barcelona,2.320 €,Diagonal Mar i el Front Marítim del Poblenou - Carrer de Ramon Turró,60 m2,2 hab.,2 baños,623119277
Alquiler apartamento  de 2 dormitorios en eixample esquerra en Barcelona,2.750 €,L´Antiga Esquerra de l´Eixample - Carrer de Còrsega,74 m2,2 hab.,2 baños,623119277
Alquiler apartamento  2 habitaciones  con terraza en eixample esquerra en Barcelona,3.285 €,La Nova Esquerra de l´Eixample - Carrer del Comte Borrell,92 m2,2 hab.,2 baños,623119277
Alquiler apartamento  2 habitaciones en Sant Antoni en Barcelona,2.120 €,Sant Antoni - Carrer de Sepúlveda,65 m2,2 hab.,1 baño,623119277
Alquiler apartamento  elegante en el centro en Barcelona,2.550 €,Sagrada Família - Carrer de Sicília,70 m2,2 hab.,2 baños,623119277
Alquiler apartamento precioso apartamento catalán en el corazón en Barcelona,2.485 €,Dreta de l´Eixample - Carrer del Bruc,85 m2,2 hab.,1 baño,623119277
Alquiler apartamento  de 2 dormitorios con balcón en el eixample en Barcelona,2.365 €,La Nova Esquerra de l´Eixample - Carrer de Mallorca,80 m2,2 hab.,2 baños,623119277
Alquiler apartamento  de 2 dormitorios en el eixample en Barcelona,2.030 €,L´Antiga Esquerra de l´Eixample - Carrer de París,79 m2,2 hab.,2 baños,623119277
Alquiler apartamento  de 1 dormitorio con balcón en eixample esquerra en Barcelona,2.550 €,Dreta de l´Eixample - Gran Via de les Corts Catalanes,50 m2,1 hab.,1 baño,+34911235203
Alquiler apartamento  de 3 dormitorios en eixample esquerra en Barcelona,2.635 €,L´Antiga Esquerra de l´Eixample - Gran Via de les Corts Catalanes,69 m2,3 hab.,2 baños,+34911235203
Alquiler piso ático en alquiler con piscina privada en turó park en Barcelona,7.500 €,Sant Gervasi - Galvany - Carrer de Lázaro Cárdenas,290 m2,4 hab.,5 baños,930191966
Alquiler apartamento elegante piso con terraza de 3 dormitorios en eixample en Barcelona,2.500 €,L´Antiga Esquerra de l´Eixample - Carrer de Còrsega,114 m2,3 hab.,2 baños,935154444
Alquiler piso exclusiva propiedad amueblada en eixample en Barcelona,3.350 €,La Nova Esquerra de l´Eixample - Gran Via de Les Corts Catalanes,158 m2,4 hab.,3 baños,935154444
Alquiler apartamento  de 1 dormitorio en eixample esquerra en Barcelona,2.040 €,L´Antiga Esquerra de l´Eixample - Carrer de València,53 m2,1 hab.,1 baño,+34911235203
Alquiler apartamento 2 bedrooms apartment with balcony in eixample esquerra en Barcelona,1.925 €,La Nova Esquerra de l´Eixample - Carrer de Rocafort,57 m2,2 hab.,1 baño,+34911235203
Alquiler piso en Barri de les Corts Barcelona,3.750 €,Barri de les Corts - DIAGONAL,212 m2,4 hab.,3 baños,933017777
Alquiler piso solo para estudisntes ! alquiler temporal . en Barcelona,1.200 €,El Clot - Carrer del Clot,75 m2,2 hab.,1 baño,698396575
Alquiler apartamento  de 1 dormitorio en eixample esquerra en Barcelona,2.190 €,Dreta de l´Eixample - Gran Via de les Corts Catalanes,49 m2,1 hab.,1 baño,+34911235203
Alquiler apartamento  de 2 habitaciones en calle paris en Barcelona,2.270 €,L´Antiga Esquerra de l´Eixample - Carrer de París,70 m2,2 hab.,2 baños,623119277
Alquiler casa magnífica casa de diseño en gracia en Barcelona,5.500 €,El Camp d´en Grassot i Gràcia Nova - Carrer del Pare Laínez,300 m2,4 hab.,3 baños,935154444
Alquiler estudio precioso estudio en la Barceloneta en Barcelona,1.200 €,Barceloneta - Carrer del Baluard,39 m2,1 baño,"30,77 €/m2",933220912
Alquiler apartamento  de 1 dormitorio en eixample esquerra en Barcelona,3.220 €,Dreta de l´Eixample - Gran Via de les Corts Catalanes,62 m2,1 hab.,1 baño,932718879
Alquiler apartamento  de 2 dormitorios con despacho en eixample dreta en Barcelona,2.260 €,L´Antiga Esquerra de l´Eixample - Carrer de la Diputació,80 m2,2 hab.,2 baños,+34911235203
Alquiler apartamento  de 1 dormitorio en gràcia en Barcelona,1.890 €,La Salut - Carrer de Verdi,70 m2,1 hab.,1 baño,+34911235203
Alquiler piso en carrer de casanova 38 en L´Antiga Esquerra de l´Eixample Barcelona,1.400 €,L´Antiga Esquerra de l´Eixample - Carrer de Casanova 38,70 m2,3 hab.,1 baño,613056060
"Alquiler piso  en alquiler amueblado y con terraza comunitaria, sarriá en Barcelona",2.550 €,Sarrià - Carrer dels Caponata,60 m2,1 hab.,1 baño,930191966
Alquiler piso  en alquiler de dos habitaciones en paseo de la bonanova en Barcelona,3.000 €,Tres Torres - Passeig de la Bonanova,87 m2,2 hab.,2 baños,930191966
Alquiler piso  en alquiler reformado en avenida diagonal en Barcelona,2.900 €,Dreta de l´Eixample - Carrer de Pau Claris,80 m2,2 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.800 €,Sant Gervasi - Galvany - Carrer de Laforja,117 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.500 €,Sant Gervasi - Galvany - Carrer de Laforja,99 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",1.950 €,Sant Gervasi - Galvany - Carrer de Laforja,82 m2,2 hab.,1 baño,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",1.950 €,Sant Gervasi - Galvany - Carrer de Laforja,82 m2,2 hab.,1 baño,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.700 €,Sant Gervasi - Galvany - Carrer de Laforja,113 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.900 €,Sant Gervasi - Galvany - Carrer de Laforja,131 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.850 €,Sant Gervasi - Galvany - Carrer de Laforja,113 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.600 €,Sant Gervasi - Galvany - Carrer de Laforja,99 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.000 €,Sant Gervasi - Galvany - Carrer de Laforja,82 m2,2 hab.,1 baño,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.950 €,Sant Gervasi - Galvany - Carrer de Laforja,128 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.950 €,Sant Gervasi - Galvany - Carrer de Laforja,175 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.750 €,Sant Gervasi - Galvany - Carrer de Laforja,173 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.750 €,Sant Gervasi - Galvany - Carrer de Laforja,113 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.350 €,Sant Gervasi - Galvany - Carrer de Laforja,81 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.600 €,Sant Gervasi - Galvany - Carrer de Laforja,88 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.850 €,Sant Gervasi - Galvany - Carrer de Laforja,101 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.550 €,Sant Gervasi - Galvany - Carrer de Laforja,92 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.850 €,Sant Gervasi - Galvany - Carrer de Laforja,113 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.350 €,Sant Gervasi - Galvany - Carrer de Laforja,81 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.950 €,Sant Gervasi - Galvany - Carrer de Laforja,175 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.600 €,Sant Gervasi - Galvany - Carrer de Laforja,99 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.250 €,Sant Gervasi - Galvany - Carrer de Laforja,89 m2,2 hab.,1 baño,930191966
Alquiler ático bonito ático reformado con terraza y dos habitaciones en Barcelona,1.750 €,El Poble Sec - Parc de Montjuïc - Font Honrada,65 m2,2 hab.,1 baño,935154444
Alquiler piso fantástico piso en dr. fleming en Tres Torres Barcelona,3.200 €,Tres Torres - Calle del Doctor Fleming,150 m2,3 hab.,2 baños,932387826
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.200 €,Sant Gervasi - Galvany - Carrer de Laforja,80 m2,2 hab.,1 baño,930191966
Alquiler apartamento  de 1 dormitorios en eixample esquerra en Barcelona,2.160 €,Dreta de l´Eixample - Carrer de Balmes,60 m2,1 hab.,1 baño,+34911235203
Alquiler apartamento  de 1 dormitorio en eixample esquerra en Barcelona,2.200 €,Dreta de l´Eixample - Gran Via de les Corts Catalanes,51 m2,1 hab.,1 baño,+34911235203
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.600 €,Sant Gervasi - Galvany - Carrer de Laforja,107 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.400 €,Sant Gervasi - Galvany - Carrer de Laforja,82 m2,3 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.750 €,Sant Gervasi - Galvany - Carrer de Laforja,113 m2,3 hab.,2 baños,930191966
Alquiler piso finca clasica mucha luz cerca de paseo bonanova con parking en Barcelona,2.600 €,Sant Gervasi - Bonanova,186 m2,4 hab.,2 baños,680808844
Alquiler piso  en alquiler reformado y amueblado en el born en Barcelona,1.700 €,St. Pere - Sta. Caterina - El Born - Carrer d'Armengol,60 m2,2 hab.,2 baños,930191966
Alquiler piso  en alquiler reformado al lado de plaza catalunya en Barcelona,3.300 €,Raval - gravina,93 m2,2 hab.,2 baños,930191966
"Alquiler piso s de obra nueva en alquiler de 2 y 3 habitaciones, sant gervasi galvany en Barcelona",2.000 €,Sant Gervasi - Galvany - Carrer de Laforja,82 m2,2 hab.,1 baño,930191966
Alquiler piso exclusivo piso en Santa Eulàlia con terraza en Hospitalet de Llobregat (L´),1.790 €,Santa Eulàlia,87 m2,3 hab.,2 baños,935154444
Alquiler piso encantador apartamento en la tranquila zona de bailén con passeig de sant joan en Barcelona,2.000 €,Dreta de l´Eixample - Bailen,81 m2,2 hab.,1 baño,935154444
Alquiler ático atico para alquilar en sant gervasi en Barcelona,3.700 €,Sant Gervasi - Galvany - Carrer de Vico,153 m2,5 hab.,5 baños,932020222
Alquiler piso  amueblado en turo park en Sant Gervasi - Galvany Barcelona,4.500 €,Sant Gervasi - Galvany - Carrer de Ganduxer,195 m2,5 hab.,3 baños,932020222
Alquiler piso ático loft en alquiler con terraza en gràcia en Barcelona,1.600 €,Vila de Gràcia - C/ de Ros de Olano,40 m2,1 hab.,1 baño,930191966
Alquiler piso alquiler por temporada! en Sistrells Badalona,1.450 €,Sistrells - Carrer de Marià Benlliure,65 m2,3 hab.,1 baño,934616261
Alquiler apartamento  1 dormitorio en gràcia en Barcelona,1.955 €,Vila de Gràcia - Carrer Gran de Gràcia,63 m2,1 hab.,1 baño,623119277
Alquiler piso alquiler temporal en zona de gràcia en Barcelona,1.600 €,Vila de Gràcia - Avenida Princep D'Asturies,55 m2,1 hab.,1 baño,933220912
Alquiler apartamento exlusuvo piso en zona alta en Barcelona,3.031 €,Sant Gervasi - Bonanova - Balsareny,115 m2,3 hab.,2 baños,935154444
Alquiler piso  en alquiler en La Vila Olímpica del Poblenou en Barcelona,2.000 €,La Vila Olímpica del Poblenou,90 m2,2 hab.,1 baño,936451424
Alquiler piso bien meublé à diagonal en Barri de les Corts Barcelona,3.800 €,Barri de les Corts - Avinguda Diagonal,182 m2,3 hab.,3 baños,932020222
Alquiler piso maravilloso piso en paseo de gracia en Barcelona,2.650 €,Dreta de l´Eixample - Passeig de Gràcia,99 m2,2 hab.,2 baños,935154444
"Alquiler piso  a estrenar en primera línea de mar, en Badalona",1.700 €,Gorg - Carrer d'Eduard Maristany,105 m2,3 hab.,2 baños,919499500
"Alquiler piso  en alquiler en lantiga esquerra de leixample, 2 habitaciones, 2 baños, totalmente amueblado en Barcelona",2.200 €,L´Antiga Esquerra de l´Eixample - Carrer del Consell de Cent,70 m2,2 hab.,1 baño,938348202
Alquiler piso impresionante piso de lujo en el borne en Barcelona,4.000 €,St. Pere - Sta. Caterina - El Born - Volta d´en Dusai,150 m2,3 hab.,2 baños,935154444
Alquiler piso  a estrenar con vistas al mar en Badalona,1.800 €,Gorg - Carrer d'Eduard Maristany,104 m2,3 hab.,2 baños,919499500
Alquiler piso  en alquiler amueblado cerca de la plaza lesseps en Barcelona,3.900 €,La Salut - C.de les Camèlies,208 m2,3 hab.,3 baños,930191966
Alquiler piso  en alquiler en la maternitat-sant ramon en Barcelona,1.850 €,Sant Ramon - Maternitat - Carrer de Mejía Lequerica,107 m2,4 hab.,1 baño,938348202
Alquiler piso tocando passeig de gràcia con encanto en Barcelona,5.500 €,Dreta de l´Eixample - Carrer del Rosselló,250 m2,5 hab.,4 baños,932020222
Alquiler piso chic temporl apartament en born en St. Pere - Sta. Caterina - El Born Barcelona,1.750 €,St. Pere - Sta. Caterina - El Born - Carrer de l'Argenteria,50 m2,1 hab.,1 baño,935154444
Alquiler piso precioso piso temporal de diseño cerca de plaza catalunya en Barcelona,3.300 €,Gòtic - Carrer de n'Amargós,174 m2,3 hab.,3 baños,935154444
Alquiler piso  de alquiler en las ramblas en Raval Barcelona,1.300 €,Raval - Carrer de l'Hospital,55 m2,2 hab.,1 baño,934197184
Alquiler piso bienvenido al oasis de modernidad y tranquilidad en hospitalet! en Hospitalet de Llobregat (L´),2.000 €,Carrer Pedrosa A,87 m2,3 hab.,2 baños,675182810
Alquiler apartamento acogedor piso en el corazón de eixample en Barcelona,3.700 €,St. Pere - Sta. Caterina - El Born - Carrer de la Gran Via,170 m2,4 hab.,2 baños,935154444
Alquiler piso perfecto para entrar a vivir! en El Camp d´en Grassot i Gràcia Nova Barcelona,1.550 €,El Camp d´en Grassot i Gràcia Nova - Passeig d'Amunt,82 m2,3 hab.,1 baño,640749461
Alquiler piso maravilloso piso de alquiler temporal en gracia en Barcelona,2.950 €,Vila de Gràcia - Carrer de Verdi,80 m2,2 hab.,2 baños,935154444
Alquiler piso espectacular piso con terraza en sant gervasi en Barcelona,2.850 €,"Sant Gervasi - Bonanova - Passatge Maluquer 7, principal segunda",200 m2,4 hab.,2 baños,935154444
Alquiler piso en avinguda diagonal 331 piso amueblado en el eixample derecho en Barcelona,2.900 €,Dreta de l´Eixample - Avinguda Diagonal 331,70 m2,2 hab.,2 baños,932020222
"Alquiler piso bel appartement design, avec espaces communs haut de gamme en Barcelona",8.500 €,Dreta de l´Eixample - Carrer de Roger de Llúria,200 m2,4 hab.,4 baños,932020222
Alquiler piso appartement lumineux au charme historique et moderne à el born en Barcelona,2.600 €,St. Pere - Sta. Caterina - El Born - Passeig del Born,150 m2,2 hab.,2 baños,932020222
Alquiler piso en carrer de laforja 32 fantástico piso de 97m2 a estrenar en Barcelona,2.500 €,Sant Gervasi - Galvany - Carrer de Laforja 32,97 m2,3 hab.,2 baños,934344795
Alquiler piso appartement à louer dans la rue can ràbia en Barcelona,5.500 €,Tres Torres - Carrer de Can Ràbia,234 m2,4 hab.,3 baños,932020222
Alquiler piso  modernista en alquiler de temporada en pau claris en Barcelona,3.500 €,Dreta de l´Eixample - Carrer de Pau Claris,140 m2,3 hab.,2 baños,935189004
Alquiler tríplex en carrer de ramon turró 146 espectacular triplex en poble nou en Barcelona,2.800 €,Poblenou - Carrer de Ramon Turró 146,140 m2,2 hab.,2 baños,933157425
Alquiler piso recien reformado con vistas al mar en Barceloneta en Barcelona,2.950 €,Barceloneta - Plaça del Mar,60 m2,2 hab.,2 baños,935154444
Alquiler apartamento espacioso y moderno apartamento en gracia en Barcelona,2.690 €,Vila de Gràcia - Carrer Gran de Gràcia,85 m2,2 hab.,2 baños,+34911235203
Alquiler piso temporal amueblado en el gótico en Gòtic Barcelona,1.450 €,Gòtic - Carrer de la Comtessa de Sobradiel,55 m2,1 hab.,1 baño,932020222
Alquiler piso amueblado con abundante luz natural en el port vell barceloneta en Barcelona,2.700 €,St. Pere - Sta. Caterina - El Born - Carrer del Doctor Aiguader,80 m2,2 hab.,2 baños,932020222
Alquiler piso  en alquiler en el Raval en Raval Barcelona,2.200 €,Raval - Carrer de la Reina Amàlia,80 m2,2 hab.,2 baños,938348202
"Alquiler piso  nuevo alto 3hab+ 2 balcones, equipado, parking )) en Sant Adrià de Besòs",1.550 €,Avinguda de la Catalana,100 m2,3 hab.,2 baños,698396575
Alquiler piso espectacular piso en alquiler con parking y vistas panorámicas en diagonal mar en Barcelona,4.500 €,Diagonal Mar i el Front Marítim del Poblenou - Passeig del Taulat,168 m2,3 hab.,2 baños,934815032
Alquiler piso imponente propiedad en inmejorable ubicación! en Barcelona,2.950 €,L´Antiga Esquerra de l´Eixample - PROVENÇA,102 m2,3 hab.,3 baños,609967669
Alquiler piso  en alquiler en leixample dreta en Barcelona,6.000 €,Dreta de l´Eixample - PAU CLARIS,240 m2,4 hab.,2 baños,656614114
Alquiler piso fantástica vivienda en el centro en Barcelona,3.000 €,Dreta de l´Eixample - Gran Via de les Corts Catalanes,165 m2,4 hab.,2 baños,930249047
"Alquiler piso fantastica ubicación, piso con terraza y parking en Barcelona",3.750 €,Barri de les Corts - Avinguda Diagonal,200 m2,4 hab.,3 baños,936111180
"Alquiler piso alto , con vistas al mar , amueblado, tranquilo ))) en Barcelona",2.790 €,Diagonal Mar i el Front Marítim del Poblenou - Passeig de Garcia Fària,105 m2,3 hab.,2 baños,698396575
"Alquiler piso de lujo , 100m2, con muebles, 2 hab, 2 baños, gran terraza )) en Barcelona",4.900 €,Diagonal Mar i el Front Marítim del Poblenou - Avinguda Diagonal,100 m2,2 hab.,"49,00 €/m2",698396575
Alquiler casa adosada estupenda y singular casa urbana reformada con patio y terraza en el eixample en Barcelona,3.500 €,Dreta de l´Eixample - Passatge de Tasso,209 m2,3 hab.,3 baños,931800272
"Alquiler piso  en alquiler en sant gervasi, en Barcelona",5.100 €,Sant Gervasi - Galvany - Avinguda Diagonal,150 m2,3 hab.,3 baños,935189004
Alquiler piso bonito piso todo equipado en la Barceloneta en Barcelona,1.100 €,Barceloneta - Carrer del Rector Bruguera,36 m2,1 hab.,1 baño,935154444
Alquiler piso espectacular piso reformado a estrenar en sant gervasi en Barcelona,2.800 €,Sant Gervasi - Galvany - Carrer d'Aribau,201 m2,6 hab.,3 baños,935154444
Alquiler ático excelente atico de 2 hab dobles se alquila por temporada(máximo 11 meses) en Barcelona,1.650 €,La Nova Esquerra de l´Eixample - Carrer de València,49 m2,2 hab.,1 baño,934235404
Alquiler piso principal reformado con terraza en eixample en Barcelona,4.100 €,Dreta de l´Eixample - Balmes,170 m2,4 hab.,4 baños,935154444
"Alquiler apartamento elegante, acogedor y con balcón en Barcelona",2.350 €,St. Pere - Sta. Caterina - El Born - Passeig de Picasso,80 m2,1 hab.,1 baño,659300274
Alquiler piso  en alquiler en la dreta de l'eixample en Barcelona,3.900 €,Dreta de l´Eixample - Passeig de Sant Joan,170 m2,3 hab.,2 baños,935189004
Alquiler piso en carrer de la reina amàlia 1111. obra nueva-alquiler de temporada en Barcelona,1.900 €,Raval - Carrer de la Reina Amàlia 1111.,70 m2,2 hab.,2 baños,933157425
Alquiler piso chic temporl apartament en sant gervasi en Barcelona,3.395 €,St. Pere - Sta. Caterina - El Born - Carrer de l'Argenteria,120 m2,3 hab.,2 baños,935154444
Alquiler piso chic temporal apartament en sant gervasi en Barcelona,3.395 €,Sant Gervasi - Galvany - Carrer de Santaló,120 m2,3 hab.,2 baños,935154444
Alquiler piso  de 3 habitaciones. totalmente amueblado y equipado. en Barcelona,1.390 €,El Poble Sec - Parc de Montjuïc - Plaça de la Bella Dorita,85 m2,3 hab.,1 baño,934942579
Alquiler apartamento piso en alquiler temporal en Sant Antoni con terraza privada en Barcelona,1.500 €,Sant Antoni - Carrer de Sepúlveda,65 m2,1 hab.,1 baño,938348202
Alquiler piso alquiler temporal junto plaza españa en Barcelona,1.800 €,Sant Antoni - de Vilamarí,75 m2,4 hab.,1 baño,934558535
Alquiler piso amplio y luminoso piso en turo park en Barcelona,4.800 €,Sant Gervasi - Galvany - Carrer de Josep Bertrand,220 m2,4 hab.,2 baños,932094600
"Alquiler piso  en alquiler en el gótico, en Gòtic Barcelona",2.500 €,Gòtic - Carrer de la Portaferrissa,106 m2,2 hab.,2 baños,935189004
Alquiler ático en carrer de craywinckel 3 ático en calle craywinkel en Barcelona,1.300 €,Putget - Farró - Carrer de Craywinckel 3,81 m2,3 hab.,1 baño,933157425
Alquiler piso ático en alquiler en les corts en Barri de les Corts Barcelona,3.200 €,Barri de les Corts - Carrer de Numància,185 m2,5 hab.,2 baños,615244212
Alquiler piso apartamento de 1 dormitorio con piscina y terraza en gracia en Barcelona,3.140 €,Vila de Gràcia - Carrer de Josep Torres,65 m2,1 hab.,1 baño,+34911235203
Alquiler piso ático con terraza privada en Dreta de l´Eixample Barcelona,3.850 €,Dreta de l´Eixample - Plaça de Catalunya,200 m2,4 hab.,3 baños,934558535
Alquiler piso alquiler piso de 2 habitaciones dobles con amplio balcón y plaza de parking en Poblenou en Barcelona,2.200 €,Poblenou - Jonquera,76 m2,2 hab.,2 baños,934145082
"Alquiler piso alto con balcon y vistas al mar, amuebldo, 3 hab )) en Barcelona",2.600 €,Diagonal Mar i el Front Marítim del Poblenou - Passeig de Garcia Fària,102 m2,3 hab.,1 baño,698396575
Alquiler apartamento  de 3 dormitorios con terraza y piscina comunitaria en poblenou en Barcelona,5.150 €,Diagonal Mar i el Front Marítim del Poblenou - Passeig del Taulat,150 m2,3 hab.,2 baños,+34911235203
Alquiler apartamento  de 3 dormitorios en gracia en Barcelona,2.650 €,Vila de Gràcia - Carrer Gran de Gràcia,120 m2,3 hab.,2 baños,+34911235203
Alquiler ático alquiler de ático en girona en Dreta de l´Eixample Barcelona,2.000 €,Dreta de l´Eixample - Carrer de Girona,50 m2,1 hab.,1 baño,938348202
Alquiler piso dúplex en alquiler a 5 minutos de la playa en Barcelona,2.100 €,Barceloneta - Carrer de Salamanca,95 m2,3 hab.,3 baños,938348202
Alquiler piso en carrer de laforja 32 obra nueva a estrenar con mucha luz en Barcelona,1.950 €,Sant Gervasi - Galvany - Carrer de Laforja 32,68 m2,2 hab.,1 baño,934344795
Alquiler piso ático en alquiler en el Raval en Raval Barcelona,1.500 €,Raval - Carrer de Guàrdia,60 m2,2 hab.,1 baño,935189004
Alquiler apartamento  con piscina comunitaria de 1 dormitorio en eixample dreta en Barcelona,4.555 €,Dreta de l´Eixample - Passeig de Gràcia,60 m2,1 hab.,1 baño,+34911235203
Alquiler piso alquiler de temporada en Barceloneta Barcelona,1.300 €,Barceloneta - Carrer de Sant Miquel,50 m2,1 hab.,1 baño,936111180
Alquiler apartamento  de 2 dormitorios con oficina y terraza en eixample esquerra en Barcelona,3.015 €,L´Antiga Esquerra de l´Eixample - Carrer de la Diputació,105 m2,2 hab.,2 baños,622429837
Alquiler apartamento  recién renovado de 2 habitaciones en born en Barcelona,2.410 €,St. Pere - Sta. Caterina - El Born - Carrer dels Flassaders,62 m2,2 hab.,1 baño,+34911235203
